Rank,Institute_ID,Name,Score,Category,State,Region
1.0,IR-G-U-0101,Indian Agricultural Research Institute,89.23,Agriculture,Delhi,North
2.0,IR-G-U-0171,ICAR - National Dairy Research Institute,75.87,Agriculture,Haryana,North
3.0,IR-G-U-0381,Punjab Agricultural University,75.83,Agriculture,Punjab,North
4.0,IR-G-U-0500,Banaras Hindu University,68.95,Agriculture,Uttar Pradesh,North
5.0,IR-G-U-0518,"Indian Veterinary Research Institute, Izatnagar",67.66,Agriculture,Uttar Pradesh,North
6.0,IR-G-U-0485,Tamil Nadu Agricultural University,67.06,Agriculture,Tamil Nadu,South
7.0,IR-G-U-0200,Sher-e-Kashmir University of Agricultural Science and Technology of Kashmir,65.81,Agriculture,Jammu and Kashmir,North
8.0,IR-G-U-0293,"Central Institute of Fisheries Education, Fisheries University",63.92,Agriculture,Maharashtra,West
9.0,IR-G-U-0554,"G.B. Pant Universtiy of Agriculture and Technology, Pantnagar",61.56,Agriculture,Uttarakhand,North
10.0,IR-G-U-0159,Chaudhary Charan Singh Haryana Agricultural University,61.47,Agriculture,Haryana,North
1.0,IR-A-U-0560,Indian Institute of Technology Roorkee,83.95,Architecture,Uttarakhand,North
2.0,IR-A-U-0263,National Institute of Technology Calicut,77.89,Architecture,Kerala,South
3.0,IR-A-U-0573,Indian Institute of Technology Kharagpur,77.38,Architecture,West Bengal,East
4.0,IR-A-U-0584,"Indian Institute of Engineering Science and Technology, Shibpur",68.37,Architecture,West Bengal,East
5.0,IR-A-U-0108,Jamia Millia Islamia,67.15,Architecture,Delhi,North
6.0,IR-A-U-0127,Centre for Environmental Planning and Technology University,65.73,Architecture,Gujarat,West
7.0,IR-A-U-0357,National Institute of Technology Rourkela,65.72,Architecture,Odisha,East
8.0,IR-A-U-0116,School of Planning and Architecture New Delhi,65.11,Architecture,Delhi,North
9.0,IR-A-U-0467,National Institute of Technology Tiruchirappalli,64.3,Architecture,Tamil Nadu,South
10.0,IR-A-U-0334,"Visvesvaraya National Institute of Technology, Nagpur",61.22,Architecture,Maharashtra,West
1.0,IR-C-C-6377,Hindu College,84.01,College,Delhi,North
2.0,IR-C-C-6355,Miranda House,83.2,College,Delhi,North
3.0,IR-C-C-6425,Hans Raj College,81.75,College,Delhi,North
4.0,IR-C-C-6385,Kirori Mal College,80.33,College,Delhi,North
5.0,IR-C-C-22470,St. Stephens's College,79.41,College,Delhi,North
6.0,IR-C-I-1317,Rama Krishna Mission Vivekananda Centenary College,76.74,College,West Bengal,East
7.0,IR-C-C-22462,Atma Ram Sanatan Dharm College,76.09,College,Delhi,North
8.0,IR-C-C-11881,St. Xavier`s College,76.07,College,Maharashtra,West
9.0,IR-C-C-41046,PSGR Krishnammal College for Women,75.52,College,Tamil Nadu,South
10.0,IR-C-C-41124,PSG College of Arts and Science,73.15,College,Tamil Nadu,South
1.0,IR-N-N-15,"All India Institute of Medical Sciences, Delhi",89.12,Dental,Delhi,North
2.0,IR-N-I-1441,Saveetha Institute of Medical and Technical Sciences,85.31,Dental,Tamil Nadu,South
3.0,IR-N-C-28507,Maulana Azad Institute of Dental Sciences,72.55,Dental,Delhi,North
4.0,IR-N-I-1110,Dr. D. Y. Patil Vidyapeeth,72.36,Dental,Maharashtra,West
5.0,IR-N-C-7254,"Manipal College of Dental Sciences, Manipal",70.58,Dental,Karnataka,South
6.0,IR-N-C-19320,A.B.Shetty Memorial Institute of Dental Sciences,69.0,Dental,Karnataka,South
7.0,IR-N-U-0523,King George`s Medical University,68.89,Dental,Uttar Pradesh,North
8.0,IR-N-N-352,SRM Dental College,68.19,Dental,Tamil Nadu,South
9.0,IR-N-U-0363,Siksha `O` Anusandhan,63.12,Dental,Odisha,East
10.0,IR-N-C-35008,JSS Dental College and Hospital,62.59,Dental,Karnataka,South
1.0,IR-E-U-0456,Indian Institute of Technology Madras,88.72,Engineering,Tamil Nadu,South
2.0,IR-E-I-1074,Indian Institute of Technology Delhi,85.74,Engineering,Delhi,North
3.0,IR-E-U-0306,Indian Institute of Technology Bombay,83.65,Engineering,Maharashtra,West
4.0,IR-E-I-1075,Indian Institute of Technology Kanpur,81.82,Engineering,Uttar Pradesh,North
5.0,IR-E-U-0573,Indian Institute of Technology Kharagpur,78.69,Engineering,West Bengal,East
6.0,IR-E-U-0560,Indian Institute of Technology Roorkee,75.44,Engineering,Uttarakhand,North
7.0,IR-E-U-0013,Indian Institute of Technology Hyderabad,72.31,Engineering,Telangana,South
8.0,IR-E-U-0053,Indian Institute of Technology Guwahati,72.24,Engineering,Assam,North East
