Rank,Institute ID,Name,Score
1,IR-G-U-0101,Indian Agricultural Research Institute,89.23
2,IR-G-U-0171,ICAR - National Dairy Research Institute,75.87
3,IR-G-U-0381,Punjab Agricultural University,75.83
4,IR-G-U-0500,Banaras Hindu University,68.95
5,IR-G-U-0518,"Indian Veterinary Research Institute, Izatnagar",67.66
6,IR-G-U-0485,Tamil Nadu Agricultural University,67.06
7,IR-G-U-0200,Sher-e-Kashmir University of Agricultural Science and Technology of Kashmir,65.81
8,IR-G-U-0293,"Central Institute of Fisheries Education, Fisheries University",63.92
9,IR-G-U-0554,"G.B. Pant Universtiy of Agriculture and Technology, Pantnagar",61.56
10,IR-G-U-0159,Chaudhary Charan Singh Haryana Agricultural University,61.47
