Rank,Institute ID,Name,Score
1,IR-A-U-0560,Indian Institute of Technology Roorkee,83.95
2,IR-A-U-0263,National Institute of Technology Calicut,77.89
3,IR-A-U-0573,Indian Institute of Technology Kharagpur,77.38
4,IR-A-U-0584,"Indian Institute of Engineering Science and Technology, Shibpur",68.37
5,IR-A-U-0108,Jamia Millia Islamia,67.15
6,IR-A-U-0127,Centre for Environmental Planning and Technology University,65.73
7,IR-A-U-0357,National Institute of Technology Rourkela,65.72
8,IR-A-U-0116,School of Planning and Architecture New Delhi,65.11
9,IR-A-U-0467,National Institute of Technology Tiruchirappalli,64.3
10,IR-A-U-0334,"Visvesvaraya National Institute of Technology, Nagpur",61.22
