Rank,Institute ID,Name,Score
1,IR-C-C-6377,Hindu College,84.01
2,IR-C-C-6355,Miranda House,83.2
3,IR-C-C-6425,Hans Raj College,81.75
4,IR-C-C-6385,Kirori Mal College,80.33
5,IR-C-C-22470,St. Stephens's College,79.41
6,IR-C-I-1317,Rama Krishna Mission Vivekananda Centenary College,76.74
7,IR-C-C-22462,Atma Ram Sanatan Dharm College,76.09
8,IR-C-C-11881,St. Xavier`s College,76.07
9,IR-C-C-41046,PSGR Krishnammal College for Women,75.52
10,IR-C-C-41124,PSG College of Arts and Science,73.15
