Rank,Institute ID,Name,Score
1.0,IR-N-N-15,"All India Institute of Medical Sciences, Delhi",89.12
2.0,IR-N-I-1441,Saveetha Institute of Medical and Technical Sciences,85.31
3.0,IR-N-C-28507,Maulana Azad Institute of Dental Sciences,72.55
4.0,IR-N-I-1110,Dr. D. Y. Patil Vidyapeeth,72.36
5.0,IR-N-C-7254,"Manipal College of Dental Sciences, Manipal",70.58
6.0,IR-N-C-19320,A.B.Shetty Memorial Institute of Dental Sciences,69.0
7.0,IR-N-U-0523,King George`s Medical University,68.89
8.0,IR-N-N-352,SRM Dental College,68.19
9.0,IR-N-U-0363,Siksha `O` Anusandhan,63.12
10.0,IR-N-C-35008,JSS Dental College and Hospital,62.59
