Rank,Institute ID,Name,Score
1,IR-E-U-0456,Indian Institute of Technology Madras,88.72
2,IR-E-I-1074,Indian Institute of Technology Delhi,85.74
3,IR-E-U-0306,Indian Institute of Technology Bombay,83.65
4,IR-E-I-1075,Indian Institute of Technology Kanpur,81.82
5,IR-E-U-0573,Indian Institute of Technology Kharagpur,78.69
6,IR-E-U-0560,Indian Institute of Technology Roorkee,75.44
7,IR-E-U-0013,Indian Institute of Technology Hyderabad,72.31
8,IR-E-U-0053,Indian Institute of Technology Guwahati,72.24
9,IR-E-U-0467,National Institute of Technology Tiruchirappalli,68.14
10,IR-E-U-0701,Indian Institute of Technology (Banaras Hindu University) Varanasi,67.24
