Rank,Institute ID,Name,Score
1,IR-L-U-0238,National Law School of India University,82.97
2,IR-L-U-0111,National Law University,80.0
3,IR-L-N-18,Nalsar University of Law,79.5
4,IR-L-U-0585,The West Bengal National University of Juridical Sciences,79.39
5,IR-L-U-0134,Gujarat National Law University,76.23
6,IR-L-U-0573,Indian Institute of Technology Kharagpur,74.09
7,IR-L-C-19328,"Symbiosis Law School, Pune",74.07
8,IR-L-U-0108,Jamia Millia Islamia,66.39
9,IR-L-U-0496,Aligarh Muslim University,65.82
10,IR-L-U-0363,Siksha `O` Anusandhan,65.36
