Rank,Institute ID,Name,Score
1,IR-M-S-8890,Indian Institute of Management Ahmedabad,83.29
2,IR-M-S-8903,Indian Institute of Management Bangalore,81.56
3,IR-M-S-8909,Indian Institute of Management Kozhikode,79.85
4,IR-M-I-1074,Indian Institute of Technology Delhi,78.94
5,IR-M-S-8959,Indian Institute of Management Lucknow,77.97
6,IR-M-S-8931,"Indian Institute of Management, Mumbai",77.58
7,IR-M-S-8972,Indian Institute of Management Calcutta,77.34
8,IR-M-S-8918,Indian Institute of Management Indore,75.68
9,IR-M-I-1170,Management Development Institute,71.96
10,IR-M-S-132,XLRI - Xavier School of Management,70.63
