Rank,Institute ID,Name,Score
1,IR-D-N-15,"All India Institute of Medical Sciences, Delhi",91.8
2,IR-D-U-0079,Post Graduate Institute of Medical Education and Research,82.58
3,IR-D-C-45654,Christian Medical College,76.48
4,IR-D-U-0368,Jawaharlal Institute of Post Graduate Medical Education & Research,73.3
5,IR-D-N-33,Sanjay Gandhi Postgraduate Institute of Medical Sciences,70.09
6,IR-D-U-0500,Banaras Hindu University,70.05
7,IR-D-U-0236,"National Institute of Mental Health & Neuro Sciences, Bangalore",69.77
8,IR-D-U-0523,King George`s Medical University,68.77
9,IR-D-U-0436,Amrita Vishwa Vidyapeetham,68.52
10,IR-D-C-7242,"Kasturba Medical College, Manipal",68.05
