Rank,Institute ID,Name,Score
1,IR-O-U-0456,Indian Institute of Technology Madras,87.31
2,IR-O-U-0220,Indian Institute of Science,85.0
3,IR-O-U-0306,Indian Institute of Technology Bombay,81.62
4,IR-O-I-1074,Indian Institute of Technology Delhi,80.67
5,IR-O-I-1075,Indian Institute of Technology Kanpur,77.25
6,IR-O-U-0573,Indian Institute of Technology Kharagpur,73.99
7,IR-O-U-0560,Indian Institute of Technology Roorkee,71.73
8,IR-O-N-15,"All India Institute of Medical Sciences, Delhi",70.57
9,IR-O-U-0109,Jawaharlal Nehru University,69.62
10,IR-O-U-0500,Banaras Hindu University,68.71
