Rank,Institute ID,Name,Score
1,IR-P-U-0107,Jamia Hamdard,86.59
2,IR-P-U-0391,Birla Institute of Technology & Science -Pilani,82.28
3,IR-P-U-0078,Panjab University,76.39
4,IR-P-C-35006,JSS College of Pharmacy,76.14
5,IR-P-I-1077,National Institute of Pharmaceutical Education and Research Hyderabad,75.64
6,IR-P-U-0308,Institute of Chemical Technology,74.77
7,IR-P-C-35007,JSS College of Pharmacy,73.38
8,IR-P-C-7249,"Manipal College of Pharmaceutical Sciences, Manipal",73.25
9,IR-P-U-0380,"National Institute of Pharmaceutical Education and Research, Mohali",70.96
10,IR-P-U-0473,S.R.M. Institute of Science and Technology,70.84
