Rank,Institute ID,Name,Score
1,IR-R-U-0220,Indian Institute of Science,85.01
2,IR-R-U-0456,Indian Institute of Technology Madras,82.99
3,IR-R-I-1074,Indian Institute of Technology Delhi,80.42
4,IR-R-U-0306,Indian Institute of Technology Bombay,77.8
5,IR-R-U-0573,Indian Institute of Technology Kharagpur,71.61
6,IR-R-I-1075,Indian Institute of Technology Kanpur,69.8
7,IR-R-U-0304,Homi Bhabha National Institute,69.39
8,IR-R-U-0560,Indian Institute of Technology Roorkee,67.27
9,IR-R-U-0713,Academy of Scientific and Innovative Research,67.15
10,IR-R-U-0053,Indian Institute of Technology Guwahati,64.18
