Rank,Institute ID,Name,Score
1,IR-O-U-0220,Indian Institute of Science,85.05
2,IR-O-U-0109,Jawaharlal Nehru University,71.0
3,IR-O-U-0234,Manipal Academy of Higher Education-Manipal,69.25
4,IR-O-U-0108,Jamia Millia Islamia,69.1
5,IR-O-U-0120,University of Delhi,67.38
6,IR-O-U-0500,Banaras Hindu University,67.28
7,IR-O-U-0391,Birla Institute of Technology & Science -Pilani,67.24
8,IR-O-U-0436,Amrita Vishwa Vidyapeetham,67.05
9,IR-O-U-0575,Jadavpur University,65.42
10,IR-O-U-0496,Aligarh Muslim University,65.35
